Source,Target,ConflictScore,Confidence,LogMapDecision,Label,LogMapPred
http://snomed.info/id/39274007,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C62403,1,0.748,False,False,False
http://snomed.info/id/68827007,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C36874,3,0.742,False,False,False
http://snomed.info/id/363418001,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C91446,1,0.7150000000000001,False,False,False
http://snomed.info/id/41607009,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C91501,1,0.7150000000000001,False,False,False
http://snomed.info/id/55342001,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C3262,11800,0.7929999999999999,False,False,False
http://snomed.info/id/63364005,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C91465,1,0.718,False,False,False
http://snomed.info/id/126980002,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C21996,273,0.817,False,False,False
http://snomed.info/id/123037004,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C32221,20772,0.8629999999999999,False,False,False
http://snomed.info/id/115233005,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C23999,8398,1.581,False,False,False
http://snomed.info/id/86049000,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C14143,8398,1.581,False,False,False
http://snomed.info/id/255055008,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C23045,4731,0.8450000000000001,False,False,False
http://snomed.info/id/88230002,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C26407,977,0.7330000000000001,False,False,False
http://snomed.info/id/393564001,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C91479,337,0.706,False,False,False
http://snomed.info/id/276827001,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C64046,1,0.842,False,False,False
http://snomed.info/id/442868003,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C22946,997,0.8390000000000001,False,False,False
http://snomed.info/id/400186008,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C24035,4577,1.6230000000000002,False,False,False
http://snomed.info/id/95320005,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C26404,4577,1.6230000000000002,False,False,False
http://snomed.info/id/768934004,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C22004,1,0.896,False,False,False
http://snomed.info/id/424568000,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C21622,25,0.8390000000000001,False,False,False
http://snomed.info/id/363346000,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C9305,4584,0.8560000000000001,False,True,False
http://snomed.info/id/372244006,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C16835,276,0.8680000000000001,False,False,False
http://snomed.info/id/231831002,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C64081,1,0.8059999999999999,False,False,False
http://snomed.info/id/255184001,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C21803,513,2.634,False,False,False
http://snomed.info/id/118286007,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C24012,513,2.634,False,False,False
http://snomed.info/id/711329002,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C24015,513,2.634,False,False,False
http://snomed.info/id/424413001,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C21603,1137,0.8270000000000001,False,False,False
http://snomed.info/id/443439001,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C60442,10,0.8210000000000001,False,False,False
http://snomed.info/id/146801000119103,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C21621,68,0.824,False,False,False
http://snomed.info/id/721573003,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C60680,189,0.83,False,False,False
http://snomed.info/id/370967009,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C60503,3,0.809,False,False,False
http://snomed.info/id/53619000,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C26393,5346,0.736,False,False,False
http://snomed.info/id/362981000,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C41009,339,0.706,False,False,False
http://snomed.info/id/41368006,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C26395,443,0.872,False,False,False
http://snomed.info/id/363418001,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C91446,215,0.7150000000000001,False,False,False
http://snomed.info/id/254913005,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25806,492,0.9620000000000001,False,False,False
http://snomed.info/id/93471006,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C21833,30,0.9049999999999999,False,False,False
http://snomed.info/id/92186001,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C38771,8,0.9349999999999999,False,False,False
http://snomed.info/id/429114002,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C21811,173,0.742,False,False,False
http://snomed.info/id/109853004,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C64120,5,0.809,False,False,False
http://snomed.info/id/93655004,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C64123,88,0.818,False,False,False
http://snomed.info/id/276975007,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C23112,28,0.836,False,False,False
http://snomed.info/id/408649007,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C23070,93,0.953,False,False,False
http://snomed.info/id/404029005,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C22001,25,0.8150000000000001,False,False,False
http://snomed.info/id/254763007,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C21839,1,0.8809999999999999,False,False,False
http://snomed.info/id/254661000,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C64157,1,0.8749999999999999,False,False,False
http://snomed.info/id/397195004,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C21786,58,0.8119999999999999,False,False,False
http://snomed.info/id/254720009,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C21829,1,0.8989999999999999,False,False,False
http://snomed.info/id/307598005,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C21825,3,0.8869999999999999,False,False,False
http://snomed.info/id/255187008,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C21834,2,0.89,False,False,False
http://snomed.info/id/254662007,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C60425,16,1.7169999999999999,False,False,False
http://snomed.info/id/417264005,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C64115,16,1.7169999999999999,False,False,False
http://snomed.info/id/404064001,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C21634,1,0.878,False,False,False
http://snomed.info/id/93870000,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C38772,239,0.9380000000000001,False,False,False
http://snomed.info/id/126736007,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C7387,125,0.8500000000000001,False,True,False
http://snomed.info/id/307623001,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C64072,9,0.718,False,False,False
http://snomed.info/id/188768003,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C21893,12,0.8390000000000001,False,False,False
