Source,Target,LLMDecision,LLMConfidence,LogMapScore,Label,LogMapPred,ChangedByLLM,LLMHelped,LLMHurt
http://human.owl#NCI_C49220,http://mouse.owl#MA_0001734,False,0.05,1.0,True,True,True,False,True
http://human.owl#NCI_C32658,http://mouse.owl#MA_0002684,True,0.95,1.0,True,True,False,False,False
http://human.owl#NCI_C52769,http://mouse.owl#MA_0000315,False,0.05,1.0,False,True,True,True,False
http://human.owl#NCI_C53050,http://mouse.owl#MA_0002234,True,0.95,1.0,False,True,False,False,False
http://human.owl#NCI_C49479,http://mouse.owl#MA_0001665,True,0.95,1.0,True,True,False,False,False
http://human.owl#NCI_C12677,http://mouse.owl#MA_0001630,False,0.05,1.0,True,True,True,False,True
http://human.owl#NCI_C33627,http://mouse.owl#MA_0001460,False,0.05,1.0,False,True,True,True,False
http://human.owl#NCI_C49479,http://mouse.owl#MA_0001669,False,0.05,1.0,False,True,True,True,False
http://human.owl#NCI_C33309,http://mouse.owl#MA_0002497,True,0.95,1.0,True,True,False,False,False
http://human.owl#NCI_C33791,http://mouse.owl#MA_0000777,False,0.05,1.0,True,True,True,False,True
http://human.owl#NCI_C12758,http://mouse.owl#MA_0001095,True,0.95,1.0,True,True,False,False,False
http://human.owl#NCI_C49260,http://mouse.owl#MA_0000751,True,0.95,1.0,True,True,False,False,False
http://human.owl#NCI_C12871,http://mouse.owl#MA_0000092,True,0.95,1.0,True,True,False,False,False
http://human.owl#NCI_C32296,http://mouse.owl#MA_0000789,False,0.05,1.0,False,True,True,True,False
http://human.owl#NCI_C49191,http://mouse.owl#MA_0000702,True,0.95,1.0,True,True,False,False,False
http://human.owl#NCI_C33869,http://mouse.owl#MA_0001454,False,0.05,1.0,False,True,True,True,False
http://human.owl#NCI_C12992,http://mouse.owl#MA_0000756,True,0.95,1.0,True,True,False,False,False
http://human.owl#NCI_C12870,http://mouse.owl#MA_0000093,True,0.95,1.0,True,True,False,False,False
http://human.owl#NCI_C12386,http://mouse.owl#MA_0002693,False,0.05,1.0,False,True,True,True,False
http://human.owl#NCI_C33166,http://mouse.owl#MA_0000277,False,0.05,1.0,True,True,True,False,True
