Source,Target,LLMDecision,LLMConfidence,LogMapScore,Label,LogMapPred,ChangedByLLM,LLMHelped,LLMHurt
http://human.owl#NCI_C49220,http://mouse.owl#MA_0001734,True,0.95,1.0,True,True,False,False,False
http://human.owl#NCI_C32658,http://mouse.owl#MA_0002684,True,0.95,1.0,True,True,False,False,False
http://human.owl#NCI_C52769,http://mouse.owl#MA_0000315,False,0.05,1.0,False,True,True,True,False
http://human.owl#NCI_C53050,http://mouse.owl#MA_0002234,True,0.95,1.0,False,True,False,False,False
http://human.owl#NCI_C49479,http://mouse.owl#MA_0001665,True,0.95,1.0,True,True,False,False,False
http://human.owl#NCI_C12677,http://mouse.owl#MA_0001630,True,0.95,1.0,True,True,False,False,False
http://human.owl#NCI_C33627,http://mouse.owl#MA_0001460,False,0.05,1.0,False,True,True,True,False
http://human.owl#NCI_C49479,http://mouse.owl#MA_0001669,True,0.95,1.0,False,True,False,False,False
http://human.owl#NCI_C33309,http://mouse.owl#MA_0002497,True,0.95,1.0,True,True,False,False,False
http://human.owl#NCI_C33791,http://mouse.owl#MA_0000777,True,0.95,1.0,True,True,False,False,False
http://human.owl#NCI_C12758,http://mouse.owl#MA_0001095,True,0.95,1.0,True,True,False,False,False
http://human.owl#NCI_C49260,http://mouse.owl#MA_0000751,True,0.95,1.0,True,True,False,False,False
http://human.owl#NCI_C12871,http://mouse.owl#MA_0000092,True,0.95,1.0,True,True,False,False,False
http://human.owl#NCI_C32296,http://mouse.owl#MA_0000789,False,0.05,1.0,False,True,True,True,False
http://human.owl#NCI_C49191,http://mouse.owl#MA_0000702,True,0.95,1.0,True,True,False,False,False
http://human.owl#NCI_C33869,http://mouse.owl#MA_0001454,False,0.05,1.0,False,True,True,True,False
http://human.owl#NCI_C12992,http://mouse.owl#MA_0000756,True,0.95,1.0,True,True,False,False,False
http://human.owl#NCI_C12870,http://mouse.owl#MA_0000093,True,0.95,1.0,True,True,False,False,False
http://human.owl#NCI_C12386,http://mouse.owl#MA_0002693,False,0.05,1.0,False,True,True,True,False
http://human.owl#NCI_C33166,http://mouse.owl#MA_0000277,False,0.05,1.0,True,True,True,False,True
http://human.owl#NCI_C32397,http://mouse.owl#MA_0002283,False,0.05,1.0,False,True,True,True,False
http://human.owl#NCI_C12996,http://mouse.owl#MA_0001109,True,0.95,1.0,True,True,False,False,False
http://human.owl#NCI_C12413,http://mouse.owl#MA_0002636,False,0.05,1.0,False,True,True,True,False
http://human.owl#NCI_C33470,http://mouse.owl#MA_0000279,True,0.95,1.0,True,True,False,False,False
http://human.owl#NCI_C32344,http://mouse.owl#MA_0000371,False,0.05,1.0,True,True,True,False,True
http://human.owl#NCI_C33400,http://mouse.owl#MA_0001710,True,0.95,1.0,True,True,False,False,False
http://human.owl#NCI_C33178,http://mouse.owl#MA_0001320,True,0.95,1.0,True,True,False,False,False
http://human.owl#NCI_C32931,http://mouse.owl#MA_0002695,False,0.05,1.0,False,True,True,True,False
http://human.owl#NCI_C33695,http://mouse.owl#MA_0001207,False,0.05,1.0,True,True,True,False,True
http://human.owl#NCI_C33565,http://mouse.owl#MA_0001552,True,0.95,1.0,True,True,False,False,False
http://human.owl#NCI_C49138,http://mouse.owl#MA_0000993,True,0.95,1.0,True,True,False,False,False
http://human.owl#NCI_C13041,http://mouse.owl#MA_0000004,False,0.05,1.0,False,True,True,True,False
http://human.owl#NCI_C33249,http://mouse.owl#MA_0001584,True,0.95,1.0,True,True,False,False,False
http://human.owl#NCI_C52697,http://mouse.owl#MA_0002151,True,0.95,1.0,False,True,False,False,False
http://human.owl#NCI_C33343,http://mouse.owl#MA_0002198,True,0.95,1.0,True,True,False,False,False
http://human.owl#NCI_C12442,http://mouse.owl#MA_0000206,True,0.95,1.0,True,True,False,False,False
http://human.owl#NCI_C12442,http://mouse.owl#MA_0000205,True,0.95,1.0,True,True,False,False,False
http://human.owl#NCI_C49210,http://mouse.owl#MA_0001841,False,0.05,1.0,False,True,True,True,False
http://human.owl#NCI_C49228,http://mouse.owl#MA_0001633,False,0.05,1.0,True,True,True,False,True
http://human.owl#NCI_C12934,http://mouse.owl#MA_0001036,True,0.95,1.0,True,True,False,False,False
http://human.owl#NCI_C32492,http://mouse.owl#MA_0000398,False,0.05,1.0,True,True,True,False,True
http://human.owl#NCI_C12307,http://mouse.owl#MA_0002464,False,0.05,1.0,False,True,True,True,False
http://human.owl#NCI_C32847,http://mouse.owl#MA_0002139,True,0.95,1.0,False,True,False,False,False
http://human.owl#NCI_C12945,http://mouse.owl#MA_0000720,False,0.05,1.0,False,True,True,True,False
http://human.owl#NCI_C12907,http://mouse.owl#MA_0000014,True,0.95,1.0,True,True,False,False,False
http://human.owl#NCI_C33734,http://mouse.owl#MA_0000050,False,0.05,1.0,False,True,True,True,False
http://human.owl#NCI_C12867,http://mouse.owl#MA_0001771,False,0.05,1.0,True,True,True,False,True
http://human.owl#NCI_C49798,http://mouse.owl#MA_0001131,True,0.95,1.0,True,True,False,False,False
http://human.owl#NCI_C32414,http://mouse.owl#MA_0001355,True,0.95,1.0,True,True,False,False,False
http://human.owl#NCI_C53172,http://mouse.owl#MA_0002302,True,0.95,1.0,True,True,False,False,False
http://human.owl#NCI_C49312,http://mouse.owl#MA_0001729,True,0.95,1.0,True,True,False,False,False
http://human.owl#NCI_C32743,http://mouse.owl#MA_0002723,False,0.05,1.0,False,True,True,True,False
http://human.owl#NCI_C12437,http://mouse.owl#MA_0000166,True,0.95,1.0,False,True,False,False,False
